taxonomy_tree|product_category
Bakalėja -> Saldumynai -> Kiti saldumynai|Saldumynai
Bakalėja -> Užkandžiai -> Kukurūzų lazdelės ir spragėsiai|Užkandžiai
Bakalėja -> Saldumynai -> Vafliai|Saldumynai
Maisto produktai -> Užkandžiai -> Krekeriai|Užkandžiai
Duonos gaminiai ir konditerija -> Duonos pakaitalai -> Duoniukai|Užkandžiai
Bakalėja -> Užkandžiai -> Spraginti kukurūzai|Užkandžiai
Bakalėja -> Sėklos|Maisto gamybai
Bakalėja -> Sausi pusryčiai, dribsniai ir javainių batonėliai -> Javainių batonėliai|Batonėliai
Duonos gaminiai ir konditerija -> Duonos pakaitalai -> Kiti duonos gaminiai|Duonos produktai
Saldumynai ir užkandžiai -> Šventiniai saldumynai -> Saldumynai|Saldumynai
Duonos gaminiai ir konditerija -> Bandelės ir spurgos -> Nesaldžios bandelės|Kepiniai
Saldumynai -> Pyragai|Kepiniai
Saldumynai -> Šokoladas -> Baltasis, rinkiniai ir kiti|Saldumynai
Saldumynai -> Šokoladas -> Pieninis|Saldumynai
Bakalėja -> Miltai ir miltų mišiniai -> Pilno grūdo miltai|Miltai
Mėsa, žuvis ir kulinarija -> Kulinarija -> Švieži makaronai, virtiniai ir tešla|Makaronai
Duonos gaminiai ir konditerija -> Bandelės ir spurgos -> Saldžios bandelės|Kepiniai
Maistas -> Miltai|Miltai
Maistas -> Užkandžiai -> Daržovių ir vaisių užkandžiai|Užkandžiai
Maistas -> Duona, bandelės, trapučiai|Duonos produktai
Maistas -> Džiovintos daržovės ir vaisiai -> Daržovės|Džiovinti produktai
Maistas -> Džiovintos daržovės ir vaisiai -> Vaisiai ir uogos -> Mangai|Džiovinti produktai
Šaldytas maistas -> Šaldyti kulinarijos ir konditerijos gaminiai -> Šaldytos picos ir picos užkandžiai|Šaldyti pusgaminiai
Šaldytas maistas -> Šaldyti kulinarijos ir konditerijos gaminiai -> Šaldytos picos ir užkandžiai|Šaldyti pusgaminiai
Bakalėja -> Priedai maistui ruošti -> Kepinių priedai|Maisto gamybai
Bakalėja -> Užtepai ir humusas -> Kiti užtepai|Užkandžiai
Maistas -> Augalinės mėsos ir pieno alternatyvos -> Pieno produktų alternatyvos|Užkandžiai
Bakalėja -> Užkandžiai -> Jūros dumblių užkandžiai|Užkandžiai
Šaldytas maistas -> Šaldyti kulinarijos ir konditerijos gaminiai -> Šaldyti blynai|Šaldyti pusgaminiai
Saldumynai ir užkandžiai -> Saldumynai -> Šokoladiniai batonėliai|Batonėliai
Duonos gaminiai ir konditerija -> Konditerijos gaminiai -> Tortai|Kepiniai
Bakalėja -> Padažai -> Trumų|Padažai
Bakalėja -> Padažai|Padažai
Bakalėja -> Džiovinti produktai -> Džiovintos uogos|Džiovinti produktai
Duona ir kepiniai -> Bandelės|Kepiniai
Ypatingoms mityboms -> KETO lengvai -> Granola su saldikliu ksilitoliu|Sausi pusryčiai
Ypatingoms mityboms -> „KETO lengvai” bandelės|Kepiniai
Ypatingoms mityboms -> „KETO lengvai“ duona su sėklomis|Duonos produktai
Ypatingoms mityboms -> Be Gliuteno -> duona BRIOCHE|Duonos produktai
Ypatingoms mityboms -> Be Gliuteno -> Avižinė duona|Duonos produktai
Ypatingoms mityboms -> „Be glitimo“ Klasikinė duona|Duonos produktai
Ypatingoms mityboms -> Be Gliuteno -> sausainiai su sviestu ir kakava|Sausainiai
Ypatingoms mityboms -> Be Gliuteno -> Braunis|Kepiniai
Ypatingoms mityboms -> Be Gliuteno -> sausainiai su pistacijomis ir spanguolėmis|Sausainiai
Ypatingoms mityboms -> Be Gliuteno -> tamsi duona su sėklomis|Duonos produktai
Ypatingoms mityboms -> „KETO lengvai” migdolų duona|Duonos produktai
Ypatingoms mityboms -> Be Gliuteno -> keksiukai|Kepiniai
Ypatingoms mityboms -> „KETO lengvai” picos pagrindas|Duonos produktai
Bakalėja -> Sultiniai|Maisto gamybai
Bakalėja -> Užkandžiai -> Duonos lazdelės|Užkandžiai
Bakalėja -> Medus ir sirupai|Padažai
Maistas -> Užkandžiai -> Traškučiai|Užkandžiai
Bakalėja -> Prieskoniai -> Kiti prieskoniai|Maisto gamybai
Bakalėja -> Makaronai|Makaronai
Duona ir kepiniai -> Trapučiai, duonelės, tortilijos ir kita|Kepiniai
Skonių Kalėdos -> Panetonės ir kiti saldumynai|Kepiniai
Maistas -> Skanėstai -> Kiti skanėstai|Kepiniai
